,user,daytype,H,RT,U,O,RC,A,S
0,user_11,0,0.8396358543417367,0.0,0.0,0.0,0.13398692810457516,0.0,0.026377217553688142
1,user_11,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,user_13,0,0.8972029643796319,0.010279703562036816,0.027890668579169654,0.0039046936010837517,0.03179536218025341,0.015499242967567137,0.013427364730257392
3,user_13,1,0.82421875,0.025520833333333333,0.0140625,0.007552083333333333,0.12161458333333333,0.00703125,0.0
4,user_14,0,0.3407464707019919,0.0004254496228969252,0.647070199187778,0.0004254496228969252,0.0036356604138464512,0.0,0.007696770450589828
5,user_14,1,0.24346359291537814,0.0,0.7306719145347202,0.001967950520101209,0.009839752600506044,0.0,0.014056789429294348
6,user_18,0,0.427967985771454,0.013783903957314362,0.09637616718541574,0.0,0.43141396176078256,0.03045798132503335,0.0
7,user_18,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,user_21,0,0.5993723849372385,0.018619246861924687,0.38200836820083683,0.0,0.0,0.0,0.0
9,user_21,1,0.956687898089172,0.0,0.04331210191082802,0.0,0.0,0.0,0.0
10,user_23,0,0.843316144387148,0.0,0.0,0.0,0.1412138040460135,0.0,0.015470051566838556
11,user_23,1,0.9826224328593997,0.0,0.0,0.0,0.017377567140600316,0.0,0.0
12,user_5,0,0.002089268755935423,0.0,0.9777777777777777,0.0,0.0,0.0,0.0201329534662868
13,user_5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,user_8,0,0.022175290390707498,0.0,0.4730728616684266,0.0,0.0,0.0,0.5047518479408659
15,user_8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,user_9,0,0.8495382944052146,0.010320478001086366,0.0,0.10755024443237371,0.0,0.0,0.03259098316132537
17,user_9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
