,user,location,timediff
0,user_11,1,15
1,user_11,5,3
2,user_11,7,3
3,user_13,1,28
4,user_13,2,40
5,user_13,3,4
6,user_13,4,12
7,user_13,5,14
8,user_13,6,13
9,user_13,7,6
10,user_14,1,19
11,user_14,2,0
12,user_14,3,18
13,user_14,4,6
14,user_14,5,8
15,user_14,7,4
16,user_18,1,5
17,user_18,2,7
18,user_18,3,5
19,user_18,5,10
20,user_18,6,4
21,user_21,1,24
22,user_21,2,2
23,user_21,3,8
24,user_23,1,15
25,user_23,5,16
26,user_23,7,1
27,user_5,1,0
28,user_5,3,6
29,user_5,7,1
30,user_8,1,6
31,user_8,3,3
32,user_8,7,6
33,user_9,1,1
34,user_9,2,1
35,user_9,4,6
36,user_9,7,2
