,loss,accuracy
0,0.6663630604743958,0.7469581365585327
1,0.4900059998035431,0.8037447929382324
2,0.4454968273639679,0.8190801739692688
3,0.4105303883552551,0.8326660990715027
4,0.38329291343688965,0.843982458114624
5,0.36048653721809387,0.8510748744010925
6,0.34582817554473877,0.856118381023407
7,0.3315460979938507,0.8620129823684692
8,0.32193246483802795,0.8639200329780579
9,0.3104360103607178,0.8675293326377869
10,0.30498358607292175,0.8701298832893372
11,0.2974782884120941,0.8727619647979736
12,0.2936108708381653,0.873155951499939
13,0.28793245553970337,0.8759771585464478
14,0.28351691365242004,0.8755358457565308
15,0.2790455222129822,0.8779788017272949
16,0.27630841732025146,0.8797913193702698
17,0.2730516791343689,0.8804375529289246
18,0.2709195911884308,0.8802483677864075
19,0.2689480483531952,0.8822500109672546
20,0.2661157250404358,0.8823918700218201
21,0.26315927505493164,0.8830695748329163
22,0.2617877721786499,0.8824864625930786
23,0.25704509019851685,0.8838103413581848
24,0.25786280632019043,0.8839679956436157
25,0.2564895749092102,0.8834163546562195
26,0.2540925443172455,0.8852918744087219
27,0.25249189138412476,0.8857489824295044
28,0.25033435225486755,0.8874038457870483
29,0.24948492646217346,0.887009859085083
30,0.2488526701927185,0.8860641717910767
31,0.24732521176338196,0.887009859085083
32,0.24739229679107666,0.8868837356567383
33,0.2444627583026886,0.8872462511062622
34,0.2448035478591919,0.8885701894760132
35,0.24446535110473633,0.8874353766441345
36,0.24305975437164307,0.8898625373840332
37,0.24130277335643768,0.8894054889678955
38,0.24104446172714233,0.8889169096946716
39,0.23948898911476135,0.8889326453208923
40,0.24044634401798248,0.8892320990562439
41,0.23898646235466003,0.8910446166992188
42,0.23656368255615234,0.8908712863922119
43,0.2381696105003357,0.8917065858840942
44,0.23597785830497742,0.892116367816925
45,0.23604103922843933,0.8912022709846497
46,0.23584459722042084,0.8912968039512634
47,0.23415297269821167,0.8915647268295288
48,0.23393800854682922,0.8913598656654358
49,0.2346920520067215,0.8908870220184326
50,0.232560396194458,0.892116367816925
51,0.23369993269443512,0.8918484449386597
52,0.2316059023141861,0.8916750550270081
53,0.23210899531841278,0.8910446166992188
54,0.23153048753738403,0.8912652730941772
55,0.22968067228794098,0.8923370242118835
56,0.23079150915145874,0.8926522731781006
57,0.23092345893383026,0.8943701982498169
58,0.23099051415920258,0.8924000859260559
59,0.22867657244205475,0.8924316167831421
60,0.22820205986499786,0.8932669162750244
61,0.23033881187438965,0.8928729295730591
62,0.22752289474010468,0.893881618976593
63,0.22738154232501984,0.8951109647750854
64,0.22838760912418365,0.8923212885856628
65,0.22647447884082794,0.8937554955482483
66,0.22556172311306,0.8945593237876892
67,0.2263692170381546,0.8941968083381653
68,0.2266993224620819,0.8929517269134521
69,0.2268904447555542,0.8935506343841553
70,0.22628791630268097,0.8949375748634338
71,0.2235163152217865,0.8953000903129578
72,0.22678571939468384,0.8942441344261169
73,0.2265414297580719,0.8947799801826477
74,0.22522208094596863,0.8949533700942993
75,0.22454848885536194,0.8940234780311584
76,0.22480255365371704,0.8947169184684753
77,0.22286103665828705,0.8938028216362
78,0.2246522456407547,0.8957414031028748
79,0.2239614576101303,0.8945750594139099
